name,citations,h-index,i10-index,citations_2000,citations_2001,citations_2002,citations_2003,citations_2004,citations_2005,citations_2006,citations_2007,citations_2008,citations_2009,citations_2010,citations_2011,citations_2012,citations_2013,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,citations_1999,citations_1985,citations_1986,citations_1987,citations_1988,citations_1989,citations_1990,citations_1991,citations_1992,citations_1993,citations_1994,citations_1995,citations_1996,citations_1997,citations_1998
Hamid Dehghani,13640,62,158,35.0,51.0,106.0,170.0,197.0,417.0,412.0,494.0,572.0,669.0,777.0,764.0,868.0,724.0,784.0,630.0,705.0,616,702,701,774,840,672,702,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Rhys Marshall,2054,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,49.0,56,97,173,309,399,405,439,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romy Frömer,669,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,32,47,58,112,153,193,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachel Upthegrove,7238,41,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,24.0,48.0,65.0,98.0,162.0,220,267,476,720,963,1525,1919,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clare Anderson,4073,34,63,0.0,0.0,0.0,0.0,0.0,15.0,13.0,20.0,28.0,23.0,52.0,75.0,62.0,109.0,103.0,162.0,198.0,226,230,397,452,568,514,591,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicholas P Holmes,7546,36,58,0.0,0.0,0.0,0.0,0.0,24.0,43.0,186.0,164.0,184.0,258.0,298.0,336.0,343.0,350.0,470.0,398.0,483,613,667,606,754,601,513,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ole Jensen,40238,85,196,0.0,0.0,0.0,217.0,123.0,233.0,257.0,453.0,609.0,630.0,963.0,1237.0,1410.0,1600.0,2298.0,2386.0,2640.0,2740,3178,3517,3648,3629,3597,3485,751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ned Jenkinson,7279,39,58,0.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,109.0,161.0,202.0,255.0,326.0,464.0,460.0,513.0,547.0,500,568,544,591,562,630,515,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Wilson,3742,31,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,51.0,78.0,97.0,111.0,142.0,120.0,146.0,211,218,237,334,499,541,639,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orihuela-Espina, Felipe",2433,25,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,31.0,44.0,81.0,120.0,113.0,143.0,136.0,170,188,204,264,253,254,313,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KyungMin An,313,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4,4,24,29,59,74,81,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Quinn,2643,23,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,52,164,227,362,488,558,603,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magdalena Chechlacz,2386,27,41,0.0,0.0,0.0,6.0,12.0,17.0,15.0,28.0,22.0,35.0,47.0,47.0,76.0,106.0,115.0,154.0,191.0,194,197,196,215,232,225,191,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patricia Lockwood,4773,29,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,103.0,126.0,214.0,289,396,342,431,776,874,924,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lei Zhang | 张磊,1718,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,21,36,156,371,448,476,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephane De Brito,7634,35,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,98.0,187.0,265.0,375.0,516.0,525.0,631,632,638,715,787,902,990,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dietmar Heinke,2644,22,44,12.0,12.0,22.0,38.0,48.0,54.0,62.0,83.0,87.0,132.0,139.0,148.0,119.0,132.0,123.0,148.0,147.0,142,140,130,180,171,139,159,32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davinia Fernández-Espejo,4145,31,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,85.0,154.0,284.0,258.0,337.0,386.0,337,321,253,388,395,348,396,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Cruse,3089,28,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,86.0,215.0,206.0,265.0,277.0,273,241,205,261,279,281,332,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Galea,5978,35,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,64.0,119.0,207.0,306.0,341.0,409.0,531,576,575,678,676,620,672,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew J. Bremner,3714,29,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,32.0,26.0,67.0,87.0,157.0,182.0,245.0,319,352,404,382,427,418,417,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bagshaw,6261,39,66,0.0,0.0,0.0,0.0,0.0,51.0,131.0,206.0,286.0,280.0,412.0,302.0,372.0,370.0,420.0,390.0,344.0,351,337,317,348,405,390,400,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jennifer Cook,2826,22,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,59.0,76.0,101.0,114.0,183.0,161,241,366,294,344,379,393,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul S Muhle-Karbe,622,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,32.0,27.0,62,59,58,66,78,95,90,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkady Konovalov,440,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,26,40,51,83,94,99,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Wing,16731,65,201,307.0,295.0,439.0,459.0,502.0,465.0,515.0,403.0,567.0,585.0,543.0,646.0,584.0,701.0,817.0,760.0,772.0,708,800,675,625,635,598,564,121,271.0,61.0,57.0,46.0,73.0,121.0,118.0,123.0,120.0,115.0,137.0,224.0,262.0,233.0,255.0
Chris Miall,25764,75,184,192.0,322.0,295.0,338.0,473.0,514.0,601.0,639.0,735.0,943.0,908.0,1107.0,1051.0,1472.0,1400.0,1274.0,1423.0,1443,1568,1469,1515,1775,1513,1468,302,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,79.0,113.0
Carmel Mevorach,2160,22,32,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,28.0,51.0,79.0,93.0,94.0,112.0,112.0,143.0,166.0,179,172,167,144,159,168,177,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
