name,citation_id
Alan Wing,JEihq_0AAAAJ
Andrea Krott,Hfg7LVkAAAAJ
Kim Shapiro,RO_OKQwAAAAJ
Craig McAllister,KFT9l3wAAAAJ
Clare Anderson,MHtyzVoAAAAJ
Rachel Upthegrove,Z1kBsNIAAAAJ
Dietmar Heinke,uExP9ScAAAAJ
Lei Zhang,XmnVUTQAAAAJ
Magda Chechlacz,DSIp5Mh1f3oC
Joseph Galea,xVLhU5kAAAAJ
Massimiliano (Max) Di Luca,93hi3QcAAAAJ
Jennifer Cook,B6lWO6MAAAAJ
Matthew Apps,ZTqTFbwAAAAJ
KyungMin An,7v46g14AAAAJ
Katja Kornysheva,0pRHQMAAAAAJ
Andrew J. Bremner,Uz5abgMAAAAJ
Ali Mazaheri,2Z7J72wAAAAJ
Hamid Dehghani,SIYS-lcAAAAJ
Damian Cruse,P98yGl4AAAAJ
Patricia Lockwood,ynN6pG0AAAAJ
Ned Jenkinson,I7h_dqwAAAAJ
Tom Rhys Marshall,wOMnmSsAAAAJ
Chris Miall,WD13oT0AAAAJ
Stephane De Brito,LtoxlHMAAAAJ
Romy Froemer,gezVNdoAAAAJ
Andrew Bagshaw,nJYYjoIAAAAJ
Rickson C. Mesquita,CpRcNE0AAAAJ
Martin Wilson,RK7UQ8gAAAAJ
Davinia Fernández-Espejo,GTIxT6oAAAAJ
Andrew Quinn,RZcRmrYAAAAJ
Hyojin Park,Vyn8xRQAAAAJ
Arkady Konovalov,2Cd-_fQAAAAJ
Felipe Orihuela-Espina,Yj2_-7kAAAAJ
Carmel Mevorach,vQ8nfDYAAAAJ
Paul Muhle-Karbe,T_x9NbQAAAAJ
Clayton Hickey,b65PuG8AAAAJ
Katrien Segaert,dyGL6CUAAAAJ
Nick Holmes,7cb1IBcAAAAJ
Sam Lucas,MPZ_z-MAAAAJ
Ole Jensen,ADvWcoUAAAAJ
Barbara Pomiechowska,EaZd_hkAAAAJ
